customer_email,customer_name,customer_age,age_group,customer_value_tier,customer_segment
julieryan@example.net,Judy Baker,27,26-35,Premium,Individual
williamdavis@example.org,Kevin Cox,51,51-65,High,Enterprise
ycarlson@example.com,Mark Conner,60,51-65,Medium,Enterprise
frazierdanny@example.net,Kendra Maddox Dvm,62,51-65,Low,Individual
amoore@example.net,Martin Rodriguez,63,51-65,High,Enterprise
harrellkenneth@example.net,Valerie Gill,44,36-50,Low,Individual
georgetracy@example.org,Brittany Farmer,66,65+,Premium,Individual
brianhumphrey@example.org,William Roman,81,65+,Medium,Individual
davidalvarez@example.net,Rose Spence,17,18-25,Medium,Small Business
sarahcampos@example.net,Shane Henderson,38,36-50,Premium,Enterprise
samuel87@example.org,Jennifer Powers,30,26-35,High,Individual
briannasmith@example.net,George Chapman,76,65+,Medium,Enterprise
chad34@example.net,Austin Johnson,72,65+,Medium,Individual
ambercummings@example.net,Anonymous Customer,45,36-50,Premium,Individual
clintonhopkins@example.com,Richard Aguirre,76,65+,Premium,Individual
brownjessica@example.org,Scott Brown,67,65+,Medium,Individual
joshuawright@example.org,Joshua Taylor,28,26-35,Low,Individual
martinaaron@example.com,John Hancock,22,18-25,High,Enterprise
smoore@example.org,Rachel Mitchell,47,36-50,High,Enterprise
williamsthomas@example.net,Kimberly Adkins,66,65+,Medium,Small Business
larsonemma@example.org,Jordan York,60,51-65,Medium,Small Business
harveyrobert@example.net,Steve Sanchez,29,26-35,High,Individual
john62@example.net,Taylor Harris,48,36-50,High,Small Business
smithchristine@example.net,Eugene Walton,17,18-25,High,Enterprise
nicole35@example.com,Daniel Baker,21,18-25,Low,Enterprise
contrerasangela@example.net,Joshua Turner,36,36-50,Premium,Individual
newtoneric@example.com,Brandy Wilson,20,18-25,Medium,Small Business
william40@example.org,Grant Watts,24,18-25,Medium,Small Business
danagreen@example.net,Donald Smith,71,65+,Premium,Small Business
landryhannah@example.org,Jessica Smith,41,36-50,High,Enterprise
tanderson@example.com,Jacob Tran,53,51-65,Low,Small Business
jason31@example.com,Valerie Williams,57,51-65,Low,Enterprise
sarayoung@example.org,Shelly Dickson,58,51-65,Low,Enterprise
kimberly63@example.com,Sierra Johnson,40,36-50,High,Individual
dwalker@example.com,Ashley Brennan,75,65+,High,Individual
raymondramirez@example.org,Shelby Walker,80,65+,High,Individual
sheila14@example.org,Martin Ross,51,51-65,High,Individual
yreed@example.com,Deborah Rodriguez,24,18-25,Medium,Enterprise
jonathanfletcher@example.org,Kayla Cruz,64,51-65,Premium,Small Business
michaeljones@example.net,Kimberly Ball,78,65+,Premium,Enterprise
william65@example.com,Erik Charles,19,18-25,High,Individual
lbyrd@example.net,Cameron Fisher,69,65+,Medium,Individual
jason99@example.net,Joshua Smith,18,18-25,Medium,Individual
yleon@example.net,Jeremy Lewis,30,26-35,Premium,Enterprise
clarence34@example.org,Diane Beck,47,36-50,Premium,Enterprise
psnyder@example.org,Mark Lee,75,65+,High,Small Business
osbornejeffery@example.net,Stephanie Dalton,64,51-65,Medium,Small Business
bryantlaurie@example.net,Justin Lowery,17,18-25,High,Individual
maryramirez@example.net,Scott Cole,48,36-50,Low,Small Business
jimmy55@example.net,Denise Jones,52,51-65,Low,Individual
edwardreyes@example.org,Anonymous Customer,32,26-35,Low,Enterprise
nperry@example.com,Jason Rivera,24,18-25,Low,Enterprise
wwoods@example.com,Lauren Dominguez,44,36-50,Medium,Small Business
tracynelson@example.com,Steven Houston,43,36-50,Medium,Individual
marycalhoun@example.net,Michael Yates,74,65+,Low,Small Business
millerroy@example.com,James Elliott,55,51-65,High,Small Business
matthew64@example.com,James Lewis,21,18-25,Premium,Enterprise
cookemichael@example.net,Julie Curry,50,36-50,Premium,Small Business
jamessmith@example.org,Marissa Webster,57,51-65,Premium,Small Business
stevenscott@example.com,Michael Elliott,30,26-35,Medium,Enterprise
tamirodriguez@example.org,Tracey Higgins,32,26-35,High,Individual
mdavid@example.org,Michael Rubio,30,26-35,Low,Small Business
melissa91@example.net,Lori Garcia,81,65+,Low,Small Business
huntermatthew@example.com,Joseph Stanley,35,26-35,Low,Small Business
bzimmerman@example.org,Jeffrey Cox Phd,68,65+,Low,Enterprise
umarshall@example.net,Marie Gilbert,58,51-65,Medium,Enterprise
nicole37@example.net,David Michael,66,65+,Medium,Small Business
hunter35@example.com,Gabrielle Snyder,27,26-35,Premium,Small Business
blackjames@example.org,Kyle Beard,68,65+,Premium,Individual
fbrewer@example.com,Justin Allen,48,36-50,Premium,Small Business
kevinperkins@example.com,Edward Sullivan,74,65+,Low,Small Business
michael74@example.com,Jessica Reese,51,51-65,Medium,Enterprise
jamesrodgers@example.com,Nathan Stewart,33,26-35,High,Small Business
wallkenneth@example.com,Paige Carlson,85,65+,Premium,Small Business
mccannangela@example.net,Michael Martinez,25,18-25,Premium,Enterprise
andrewstaylor@example.com,Nicole Garcia,49,36-50,Low,Individual
ewilson@example.com,Anthony Everett,75,65+,High,Individual
lisaavery@example.org,Mark Brown,63,51-65,Medium,Enterprise
