transaction_id,sale_date_str,customer_email,product_category,product_name,sales_rep,quantity,unit_price,discount_percent,total_amount,payment_method,order_priority,is_weekend,is_month_end,is_holiday_season,is_high_value_customer,is_at_risk_customer,is_vip_customer,is_bulk_purchase,is_high_discount_sale,is_premium_product,is_weekend_sale,is_holiday_season_sale,is_new_customer,is_repeat_customer,is_high_margin_sale,is_large_transaction,is_electronics_purchase,is_urgent_order,is_enterprise_customer
TXN000001,2024-11-16,julieryan@example.net,Electronics,Laptop,Michele Williams,3,1486.12,20.3,3553.31,Bank Transfer,Low,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0
TXN000002,2025-06-18,williamdavis@example.org,Clothing,Jeans,Matthew Foster,11,214.88,12.6,2065.86,Credit Card,Urgent,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1
TXN000003,2024-11-24,ycarlson@example.com,Home & Garden,Plant,Gabrielle Davis,6,104.21,11.4,553.98,Bank Transfer,Urgent,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1
TXN000004,2025-03-25,frazierdanny@example.net,Books,Fiction,Abigail Shaffer,9,30.52,18.9,222.77,Bank Transfer,Medium,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
TXN000005,2025-06-30,amoore@example.net,Home & Garden,Sofa,Abigail Shaffer,7,240.43,19.1,1361.56,Cash,Low,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
TXN000006,2024-09-17,harrellkenneth@example.net,Books,Manual,Matthew Foster,3,42.36,8.1,116.79,Cash,Low,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
TXN000007,2025-08-10,georgetracy@example.org,Home & Garden,Cookware,Cristian Santos,10,704.18,9.4,6379.87,Paypal,Medium,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0
TXN000008,2023-10-25,brianhumphrey@example.org,Books,Cookbook,Angie Henderson,10,37.96,6.6,354.55,Paypal,Medium,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
TXN000009,2023-12-26,davidalvarez@example.net,Clothing,Shorts,Patty Perez,7,123.76,29.9,607.29,Credit Card,High,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
TXN000010,2024-01-23,sarahcampos@example.net,Electronics,Tablet,Daniel Wagner,12,1757.91,7.9,19428.42,Bank Transfer,Medium,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1
TXN000011,2024-02-28,samuel87@example.org,Clothing,Dress,Ryan Munoz,9,276.77,18.0,2042.56,Cash,Medium,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0
TXN000012,2024-12-22,briannasmith@example.net,Books,Fiction,Connie Lawrence,2,78.46,16.0,131.81,Bank Transfer,Urgent,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1
TXN000013,2024-08-31,chad34@example.net,Clothing,Jacket,Dylan Miller,12,103.84,29.9,873.5,Bank Transfer,Medium,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
TXN000014,2024-11-09,ambercummings@example.net,Electronics,Tablet,Noah Rhodes,10,479.42,2.1,4693.52,Credit Card,Medium,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0
TXN000015,2024-07-14,clintonhopkins@example.com,Home & Garden,Furniture,Abigail Shaffer,12,750.02,17.1,7461.2,Paypal,Urgent,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0
