transaction_id,sale_date,customer_name,customer_email,customer_age,product_category,product_name,quantity,unit_price,discount_percent,total_amount,payment_method,sales_rep,region,customer_segment,order_priority,year,month,quarter,day_of_week,day_name,is_weekend,is_month_end,days_since_first_sale,season,is_holiday_season,age_group,customer_total_spent,customer_avg_order,customer_order_count,customer_first_purchase,customer_last_purchase,customer_value_tier,price_tier,discount_tier,gross_revenue,discount_amount,revenue_per_unit,profit_margin,rep_total_sales,rep_avg_sale,rep_transaction_count,rep_total_quantity,region_avg_sale,recency_score,frequency_rank,monetary_rank,is_high_value_customer,is_at_risk_customer,is_vip_customer,is_bulk_purchase,is_high_discount_sale,is_premium_product,is_weekend_sale,is_holiday_season_sale,is_new_customer,is_repeat_customer,is_high_margin_sale,is_large_transaction,is_electronics_purchase,is_urgent_order,is_enterprise_customer
TXN000001,2024-11-16,Judy Baker,julieryan@example.net,27,Electronics,Laptop,3,1486.12,20.3,3553.31,Bank Transfer,Michele Williams,North,Individual,Low,2024,11,4,5,Saturday,1,0,454,Fall,1,26-35,3553.31,3553.31,1,2024-11-16,2024-11-16,Premium,Premium,High,4458.36,905.04708,1184.44,79.7,874402.51,1930.25,453,2939,2139.28,4,3,5,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0
TXN000002,2025-06-18,Kevin Cox,williamdavis@example.org,51,Clothing,Jeans,11,214.88,12.6,2065.86,Credit Card,Matthew Foster,South,Enterprise,Urgent,2025,6,2,2,Wednesday,0,0,668,Summer,0,51-65,2065.86,2065.86,1,2025-06-18,2025-06-18,High,Premium,Medium,2363.68,297.82367999999997,187.81,87.4,1022438.71,2078.13,492,3240,2108.51,5,5,4,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1
TXN000003,2024-11-24,Mark Conner,ycarlson@example.com,60,Home & Garden,Plant,6,104.21,11.4,553.98,Bank Transfer,Gabrielle Davis,North,Enterprise,Urgent,2024,11,4,6,Sunday,1,0,462,Fall,1,51-65,553.98,553.98,1,2024-11-24,2024-11-24,Medium,Budget,Medium,625.26,71.27964,92.33,88.6,1007575.89,2229.15,452,3022,2139.28,4,5,2,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1
TXN000004,2025-03-25,Kendra Maddox Dvm,frazierdanny@example.net,62,Books,Fiction,9,30.52,18.9,222.77,Bank Transfer,Abigail Shaffer,North,Individual,Medium,2025,3,1,1,Tuesday,0,0,583,Spring,0,51-65,222.77,222.77,1,2025-03-25,2025-03-25,Low,Budget,Medium,274.68,51.914519999999996,24.75,81.1,984709.16,2077.45,474,3046,2139.28,4,2,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
TXN000005,2025-06-30,Martin Rodriguez,amoore@example.net,63,Home & Garden,Sofa,7,240.43,19.1,1361.56,Cash,Abigail Shaffer,East,Enterprise,Low,2025,6,2,0,Monday,0,1,680,Summer,0,51-65,1361.56,1361.56,1,2025-06-30,2025-06-30,High,Budget,Medium,1683.01,321.45491,194.51,80.9,984709.16,2077.45,474,3046,2107.87,5,1,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
TXN000006,2024-09-17,Valerie Gill,harrellkenneth@example.net,44,Books,Manual,3,42.36,8.1,116.79,Cash,Matthew Foster,North,Individual,Low,2024,9,3,1,Tuesday,0,0,394,Fall,0,36-50,116.79,116.79,1,2024-09-17,2024-09-17,Low,Mid-Range,Low,127.08,10.29348,38.93,91.9,1022438.71,2078.13,492,3240,2139.28,3,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
TXN000007,2025-08-10,Brittany Farmer,georgetracy@example.org,66,Home & Garden,Cookware,10,704.18,9.4,6379.87,Paypal,Cristian Santos,East,Individual,Medium,2025,8,3,6,Sunday,1,0,721,Summer,0,65+,6379.87,6379.87,1,2025-08-10,2025-08-10,Premium,Premium,Low,7041.799999999999,661.9291999999999,637.99,90.6,1050434.85,2117.81,496,3267,2107.87,5,2,5,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0
TXN000008,2023-10-25,William Roman,brianhumphrey@example.org,81,Books,Cookbook,10,37.96,6.6,354.55,Paypal,Angie Henderson,North,Individual,Medium,2023,10,4,2,Wednesday,0,0,66,Fall,0,65+,354.55,354.55,1,2023-10-25,2023-10-25,Medium,Mid-Range,Low,379.6,25.053600000000003,35.46,93.4,956042.28,1931.4,495,3172,2139.28,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
TXN000009,2023-12-26,Rose Spence,davidalvarez@example.net,17,Clothing,Shorts,7,123.76,29.9,607.29,Credit Card,Patty Perez,Central,Small Business,High,2023,12,4,1,Tuesday,0,0,128,Winter,1,18-25,607.29,607.29,1,2023-12-26,2023-12-26,Medium,Mid-Range,High,866.32,259.02968,86.76,70.1,1050508.21,2254.31,466,3003,2202.89,1,2,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
TXN000010,2024-01-23,Shane Henderson,sarahcampos@example.net,38,Electronics,Tablet,12,1757.91,7.9,19428.42,Bank Transfer,Daniel Wagner,East,Enterprise,Medium,2024,1,1,1,Tuesday,0,0,156,Winter,0,36-50,19428.42,19428.42,1,2024-01-23,2024-01-23,Premium,Premium,Low,21094.920000000002,1666.4986800000001,1619.04,92.1,1094357.58,2237.95,489,3176,2107.87,2,4,5,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1
